org;lum;agg;int;atm;col;com;dep;catr;infra;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;situ;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav;gps;lat;long;adr;numac;codeinsee;geoflamatch;nbimplique
5;1;9;1;1;6;88;60;4;0;0;0;;3;6;;;3;1;1;1;0;1;1;0;1;65;0;CASSIN (BD RENE);;11.23;;;;;384643;6088;O;2
5;1;9;1;1;5;88;60;4;0;0;0;;2;2;;;0;2;1;1;0;1;1;1;1;36;0;ESTIENNE -D'ORVES (AV. D');;11.23;;;;;384644;6088;O;3
5;1;5;1;1;3;159;60;2;0;0;0;;2;3;;;0;1;1;1;0;1;1;1;1;0;0;SAINT JEAN (PONT);;11.23;;;;;384645;6159;O;3
5;1;9;1;1;3;88;60;3;0;0;0;;3;8;;;0;1;1;1;0;1;1;0;1;245;0;ANGLAIS (DU N° 114 AU N° 263);;11.23;;;;;384646;6088;O;2
1;1;3;1;1;6;14;60;3;0;15;0;;2;2;8;700;0;2;3;1;0;1;1;0;;;;;;11.23;;4384200;729600;;384647;6014;O;2
1;1;1;1;1;6;48;60;3;5;2204;0;;2;0;14;500;0;2;1;1;0;1;1;0;;;;;;11.23;;0;0;;384648;6048;O;2
1;1;5;1;1;3;157;60;3;0;36;0;;2;2;0;0;0;2;2;1;0;1;1;1;;;;;;11.23;;0;0;;384649;6157;O;3
1;1;1;1;1;7;152;60;3;0;103;0;;3;2;4;300;0;1;3;3;0;1;1;0;;;;;;11.23;;0;0;;384650;6152;O;2
5;1;7;1;1;2;4;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;71;0;POINCARE BD RAYMOND.;;11.23;;;;;384651;6004;O;3
5;1;7;1;1;1;4;60;4;0;0;0;;2;2;;;0;1;4;1;0;1;1;0;1;251;0;FERRIE AV.DU GENERAL;;11.23;;;;;384652;6004;O;2
5;1;7;1;1;6;4;60;4;0;0;0;;1;1;;;0;1;1;1;0;1;1;2;1;12;0;PASTEUR AV.;;11.23;;;;;384653;6004;O;4
5;5;6;3;1;2;30;60;3;0;0;0;;3;4;;;0;2;3;1;0;1;1;0;1;0;0;CAMPON (RUE;;11.23;;;;;384654;6030;O;2
5;1;7;1;1;3;29;60;3;0;0;0;;2;2;;;0;1;1;1;0;1;1;0;1;260;0;JOURDAN (AVENUE MICHEL);;11.23;;;;;384655;6029;O;2
5;1;6;1;1;6;83;60;4;0;0;0;;1;1;;;0;1;1;1;0;1;1;0;1;14;0;CAREI (VAL DU);;11.23;;;;;384656;6083;O;2
5;1;9;2;1;3;88;60;4;0;0;0;;1;1;;;0;1;1;1;0;1;1;0;1;0;0;DEPOILLY (AV.);;11.23;;;;;384657;6088;O;2
5;5;9;1;1;6;88;60;4;0;0;0;;3;8;;;0;1;1;1;0;1;1;0;1;0;0;ANGLAIS (DU N° 114 AU N° 263);;11.23;;;;;384658;6088;O;2
5;1;9;3;1;3;88;60;4;0;0;0;;1;1;;;0;1;1;1;0;1;1;0;1;0;0;SAINT-MAURICE (AV.);;11.23;;;;;384659;6088;O;2
5;1;9;1;1;6;88;60;4;0;0;0;;2;3;;;0;1;1;1;0;1;1;0;1;350;0;TURIN (RTE DE);;11.23;;;;;384660;6088;O;2
5;1;7;1;1;3;4;60;3;3;0;0;;3;3;1;0;0;1;3;1;0;1;1;1;0;;0;ROCHAT AV.PHILIPPE;;11.23;;;;;384661;6004;O;3
5;1;7;3;1;4;4;60;2;0;0;0;;2;3;10;0;0;1;1;1;0;1;1;2;0;;0;NATIONALE RN 98;;11.23;;;;;384662;6004;O;4
5;5;6;1;1;6;27;60;4;0;0;0;;2;2;;;0;1;3;4;0;1;1;0;1;12;0;BIR HAKEIM RUE;;11.23;;;;;384663;6027;O;2
5;1;6;2;1;5;27;60;4;5;0;0;;3;2;;;0;1;1;1;0;1;1;4;2;;0;CANNES AVENUE DE (RN7);;11.23;;;;;384664;6027;O;6
5;1;6;1;1;3;69;60;3;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;;0;PLAN (ROUTE DU) -D304-;;11.23;;;;;384665;6069;O;3
5;1;5;1;1;1;12;60;4;0;0;0;;2;2;;;0;3;1;1;0;1;1;0;1;7;0;CENTRE (BRETELLE DU);;11.23;;;;;384666;6012;O;2
5;1;9;1;1;3;88;60;3;0;0;0;;3;6;;;3;1;1;1;0;1;1;0;1;0;0;CASSIN (BD RENE);;11.23;;;;;384667;6088;O;2
5;5;9;2;1;3;88;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;0;0;LEPANTE (R. DE);;11.23;;;;;384668;6088;O;3
5;2;9;1;1;3;88;60;3;0;0;0;;3;4;;;0;1;1;1;0;1;1;1;1;43;0;ANGLAIS PLAGE (N°1 AU 43);;11.23;;;;;384669;6088;O;3
5;1;9;1;1;6;88;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;18;0;THIERS (AV.);;11.23;;;;;384670;6088;O;3
1;4;1;1;1;6;74;60;3;0;173;0;;2;2;4;500;0;2;4;3;0;1;1;0;;;;;;11.23;;4396000;727300;;384671;6074;O;2
1;1;1;1;1;1;54;60;3;0;2204;0;;2;0;0;0;0;1;0;1;0;1;1;0;;;;;;11.23;;0;0;;384672;6054;O;2
1;1;5;9;1;3;161;60;3;5;6007;0;;2;2;28;700;0;1;1;1;0;1;1;1;;;;;;11.23;;4363900;713000;;384673;6161;O;3
1;3;1;1;1;1;4;60;1;0;8;8;A;1;3;174;300;0;1;1;3;0;1;1;1;;;;;;11.23;;0;0;;384674;6004;O;3
1;1;1;1;1;6;29;60;1;0;8;0;;3;0;159;950;0;1;1;3;0;1;1;0;;;;;;11.23;;0;0;;384675;6029;O;2
1;1;4;1;1;2;10;60;3;0;2210;0;;2;2;32;900;0;2;1;1;0;1;1;0;;;;;;11.23;;0;0;;384676;6010;O;2
1;1;1;1;1;2;99;60;3;0;6202;0;;2;2;58;750;0;1;1;1;0;1;1;1;;;;;;11.23;;4395800;691000;;384677;6099;O;3
1;5;1;1;1;6;88;60;1;0;8;8;A;3;0;0;0;0;0;2;1;0;1;1;0;;;;;;11.23;;0;0;;384678;6088;O;2
1;3;1;1;1;2;85;60;1;3;8;8;A;1;0;164;950;0;1;3;1;0;1;1;0;;;;;;11.23;;0;0;;384679;6085;O;2
